0x00000000,global_tags
0x00000001,sound\levels\mainmenu\pelicans_loop\pelicans_loop
0x00000002,sound\levels\mainmenu\vehicles_loop\vehicles_loop
0x00000003,sound\music\main_menu_new\prologue\prologue
0x00000004,sound\music\main_menu_new\main_menu\main_menu
0x00000005,sound\music\main_menu_new\lobby\lobby
0x00000006,sound\music\postmatch_new\headhunters\postmatch_headhunters
0x00000007,sound\music\postmatch_new\spartan_engage\postmatch_spartan_engage
0x00000008,sound\music\postmatch_new\spartan_hero\postmatch_spartan_hero
0x00000012,rasterizer\rasterizer_cache_file_globals
0x00000013,hf2p\global_textures_list
0x00000014,hf2p\global_files_list
0x00000015,globals\globals
0x000000AF,fx\scenery_fx\havok\havok_collection
0x000000B0,sound\sound_classes
0x000000B1,sound\global_fx
0x000000B2,sound\sound_mix
0x000000B3,sound\combat_dialogue_constants
0x000000B4,sound\default
0x000000B5,sound\ui_sounds
0x000000B6,ai\ai_dialogue_globals
0x000000B7,ai\normal
0x000000B8,ai\bunkering
0x000000B9,ai\assaulting
0x000000BA,globals\ai_globals
0x000000BB,globals\default_unit_camera_track
0x000000BC,sound\weapons\frag_grenade\frag_throw
0x000000BD,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000BE,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000BF,sound\weapons\plasma_grenade\throwgren
0x000000C0,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000C1,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000C2,sound\weapons\claymore_grenade\claymore_throw
0x000000C3,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000C4,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000C5,sound\weapons\firebomb\firebomb_throw
0x000000C6,objects\weapons\grenade\firebomb_grenade\firebomb_grenade
0x000000C7,objects\weapons\grenade\firebomb_grenade\projectiles\firebomb_grenade
0x000000C8,ui\hud
0x000000C9,ui\editor
0x000000CA,ui\dialog
0x000000CB,rasterizer\plasma_noise
0x000000CC,ui\main_menu
0x000000CD,ui\multiplayer
0x000000CE,ui\chud\globals
0x000000CF,ui\global_strings\damage_strings
0x000000D0,hf2p\strings\main_strings
0x000000D1,hf2p\strings\settings_strings
0x000000D2,hf2p\strings\lobby_strings
0x000000D3,hf2p\strings\emblem_editor_strings
0x000000D4,hf2p\strings\carousel_strings
0x000000D5,hf2p\strings\consumable_strings
