0x00000000,global_tags
0x00000001,rasterizer\rasterizer_cache_file_globals
0x00000002,hf2p\global_textures_list
0x00000003,hf2p\global_files_list
0x00000004,globals\globals
0x0000009E,fx\scenery_fx\havok\havok_collection
0x0000009F,sound\sound_classes
0x000000A0,sound\global_fx
0x000000A1,sound\sound_mix
0x000000A2,sound\combat_dialogue_constants
0x000000A3,sound\default
0x000000A4,sound\ui_sounds
0x000000A5,ai\ai_dialogue_globals
0x000000A6,ai\normal
0x000000A7,ai\bunkering
0x000000A8,ai\assaulting
0x000000A9,globals\ai_globals
0x000000AA,globals\default_unit_camera_track
0x000000AB,sound\weapons\frag_grenade\frag_throw
0x000000AC,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000AD,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000AE,sound\weapons\plasma_grenade\throwgren
0x000000AF,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000B0,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000B1,sound\weapons\claymore_grenade\claymore_throw
0x000000B2,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000B3,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000B4,sound\weapons\firebomb\firebomb_throw
0x000000B5,objects\weapons\grenade\firebomb_grenade\firebomb_grenade
0x000000B6,objects\weapons\grenade\firebomb_grenade\projectiles\firebomb_grenade
0x000000B7,ui\hud
0x000000B8,ui\editor
0x000000B9,ui\dialog
0x000000BA,rasterizer\plasma_noise
0x000000BB,ui\main_menu
0x000000BC,ui\multiplayer
0x000000BD,ui\chud\globals
0x000000BE,ui\global_strings\damage_strings
0x000000BF,hf2p\strings\main_strings
0x000000C0,hf2p\strings\settings_strings
0x000000C1,hf2p\strings\lobby_strings
0x000000C2,hf2p\strings\emblem_editor_strings
0x000000C3,hf2p\strings\carousel_strings
0x000000C4,hf2p\strings\consumable_strings
0x000000C5,hf2p\strings\weapon_strings
0x000000C6,hf2p\strings\ingame_strings
0x000000C7,hf2p\strings\armor_strings
0x000000C8,hf2p\strings\message_strings
0x000000C9,hf2p\strings\buy_strings
0x000000CA,hf2p\strings\game_mode_strings
0x000000CB,hf2p\strings\map_strings
0x000000CC,hf2p\strings\loading_strings
0x000000CD,hf2p\strings\tip_strings
0x000000CE,hf2p\strings\level_strings
0x000000CF,hf2p\strings\profile_strings
0x000000D0,hf2p\strings\class_strings
0x000000D1,hf2p\strings\manufacturer_strings
0x000000D2,hf2p\strings\medal_strings
0x000000D3,hf2p\strings\playlist_strings
0x000000D4,hf2p\strings\damage_reporting_type_strings
0x000000D5,hf2p\strings\challenge_strings
0x000000D6,hf2p\strings\career_strings
0x000000D7,hf2p\strings\mod_strings
0x000000D8,hf2p\strings\label_strings
0x000000D9,hf2p\strings\market_strings
0x000000DA,hf2p\strings\emblem_strings
0x000000DB,objects\characters\masterchief\fx\coop_teleport
0x000000DC,sound\weapons\battle_rifle\flashlight
0x000000DD,globals\damage_responses\default
0x000000DE,objects\characters\masterchief\mp_masterchief\fp\fp
0x000000DF,objects\characters\masterchief\mp_masterchief\fp_body\fp_body
0x000000E0,objects\characters\masterchief\mp_masterchief\mp_masterchief
0x000000E1,sound\game_sfx\ui\binoculars\binocs_in_click
0x000000E2,sound\game_sfx\ui\binoculars\binocs_out_click
0x000000E3,objects\characters\elite\mp_elite\mp_elite
0x000000E4,objects\characters\masterchief\mp_masterchief\mp_masterchief_ui
0x000000E5,objects\characters\elite\mp_elite\mp_elite_ui
0x000000E6,objects\characters\masterchief\mp_masterchief\mp_masterchief_manikin
0x000000E7,objects\characters\elite\mp_elite\mp_elite_manikin
0x000000E8,objects\characters\masterchief\mp_masterchief\mp_masterchief_podium
0x000000E9,objects\characters\elite\mp_elite\mp_elite_podium
0x000000EA,objects\characters\mp_spartan_female\mp_spartan_female
0x000000EB,objects\characters\mp_spartan_female\mp_spartan_female_ui
0x000000EC,objects\characters\mp_spartan_female\mp_spartan_female_manikin
0x000000ED,objects\characters\mp_spartan_female\mp_spartan_female_podium
0x000000EE,globals\falling
0x000000EF,globals\collision_damage\landing_soft
0x000000F0,globals\collision_damage\landing_hard
0x000000F1,globals\hs_damage
0x000000F2,globals\distance
0x000000F3,sound\materials\liquid\water_med
0x000000F4,sound\materials\liquid\water_large
0x000000F5,sound\materials\liquid\vehicle_water_looping\vehicle_water_looping
0x000000F6,fx\material_effects\materials\liquid\liquid
0x000000F7,fx\water\default_small
0x000000F8,fx\water\default_medium
0x000000F9,fx\water\default_large
0x000000FA,sound\materials\soft\soft_organic_cloth\cloth_hits
0x000000FB,sound\materials\soft\soft_organic_cloth\cloth_hits_med
0x000000FC,sound\materials\soft\soft_organic_cloth\cloth_looping\cloth_looping
0x000000FD,fx\material_effects\materials\soft\soft_organic_cloth
0x000000FE,sound\materials\soft\organic_flesh\melee_impact
0x000000FF,sound\materials\soft\soft_organic_plant\soft_organic_plant_hits_actor
0x00000100,sound\materials\soft\soft_organic_plant_leafy_dynamic\soft_organic_plant_leafy_dynamic\soft_organic_plant_leafy_dynamic
0x00000101,sound\materials\soft\soft_organic_plant\soft_organic_plant_hits_actee
0x00000102,fx\material_effects\materials\soft\soft_organic_plant
0x00000103,sound\materials\hard\metal_thick\metal_thick_med
0x00000104,sound\materials\soft\terrain_snow\snow_small
0x00000105,sound\materials\soft\terrain_snow\snow_medium
0x00000106,sound\materials\soft\terrain_snow\snow_large
0x00000107,sound\materials\soft\terrain_snow\snow_looping\snow_looping
0x00000108,fx\material_effects\materials\soft\terrain_snow
0x00000109,sound\materials\tough\terrain_dirt\dirt_small
0x0000010A,sound\materials\tough\terrain_dirt\dirt_med
0x0000010B,sound\materials\tough\terrain_dirt\dirt_large
0x0000010C,sound\materials\tough\terrain_dirt\dirt_looping\dirt_looping
0x0000010D,fx\material_effects\materials\tough\terrain_dirt
0x0000010E,sound\materials\tough\rubber\rubber_small
0x0000010F,sound\materials\tough\rubber\rubber_med
0x00000110,sound\materials\tough\plastic_looping\plastic_looping
0x00000111,fx\material_effects\materials\tough\inorganic_rubber
0x00000112,sound\materials\havok\tire\tire_hits
0x00000113,fx\material_effects\materials\tough\inorganic_rubber_hum_tire
0x00000114,fx\material_effects\materials\tough\inorganic_plastic
0x00000115,sound\materials\tough\squish_hits
0x00000116,fx\material_effects\materials\tough\tough_floodflesh
0x00000117,sound\materials\tough\organic_wood\wood_small
0x00000118,sound\materials\tough\organic_wood\wood_med
0x00000119,fx\material_effects\materials\tough\organic_wood
0x0000011A,sound\materials\tough\terrain_grass\grass_small
0x0000011B,sound\materials\tough\terrain_grass\grass_med
0x0000011C,sound\materials\tough\terrain_grass\grass_looping\grass_looping
0x0000011D,sound\materials\tough\terrain_mud\mud_small
0x0000011E,sound\materials\tough\terrain_mud\mud_med
0x0000011F,sound\materials\tough\terrain_mud\mud_looping\mud_looping
0x00000120,sound\materials\tough\terrain_gravel\gravel_small
0x00000121,sound\materials\tough\terrain_gravel\gravel_med
0x00000122,sound\materials\tough\terrain_gravel\gravel_looping\gravel_looping
0x00000123,sound\materials\tough\terrain_sand\sand_small
0x00000124,sound\materials\tough\terrain_sand\sand_med
0x00000125,sound\materials\tough\terrain_sand\sand_looping\sand_looping
0x00000126,sound\materials\hard\terrain_stone\stone_small
0x00000127,sound\materials\hard\terrain_stone\stone_med
0x00000128,sound\materials\hard\metal_solid\metal_solid_large
0x00000129,sound\materials\hard\terrain_stone\stone_looping\stone_looping
0x0000012A,fx\material_effects\materials\hard\terrain_stone
0x0000012B,sound\materials\hard\metal_thin\metal_thin_small
0x0000012C,sound\materials\hard\metal_thin\metal_thin_med_h3
0x0000012D,sound\materials\hard\metal_thin\metal_thin_large
0x0000012E,sound\materials\hard\metal_thin\metal_thin_looping\metal_thin_looping
0x0000012F,fx\material_effects\materials\hard\metal_thin
0x00000130,sound\materials\hard\metal_thin\human_weap_melee
0x00000131,sound\materials\hard\metal_thick\vehicle_hit_human
0x00000132,sound\materials\hard\metal_thin\metal_thin_cov_small
0x00000133,sound\materials\hard\metal_thin\metal_thin_cov_elite_small
0x00000134,sound\materials\hard\metal_thin\metal_thin_cov_elite_small_looping\metal_thin_cov_elite_small_looping
0x00000135,fx\material_effects\materials\hard\metal_thin_cov_elite
0x00000136,sound\materials\hard\metal_thin\cov_weap_melee
0x00000137,sound\materials\hard\metal_thick\metal_thick_small
0x00000138,sound\materials\hard\metal_thick\metal_thick_looping\metal_thick_looping
0x00000139,fx\material_effects\materials\hard\metal_thick
0x0000013A,fx\material_effects\materials\hard\hard_metal_thick_hum_scorpion_tread
0x0000013B,fx\material_effects\materials\hard\metal_thick_cov
0x0000013C,sound\materials\hard\metal_thick\hard_metal_thick_cov_hunter
0x0000013D,sound\materials\hard\metal_thick\hit_ghost_small
0x0000013E,sound\materials\hard\metal_thick\hit_ghost
0x0000013F,sound\materials\hard\metal_thick\metal_thick_for_small
0x00000140,sound\materials\hard\metal_thick\metal_thick_for_small_looping\metal_thick_for_small_looping
0x00000141,fx\material_effects\materials\hard\metal_thick_for_sentinel
0x00000142,sound\materials\hard\metal_solid\metal_solid_small_h3_actee
0x00000143,sound\materials\hard\metal_solid\metal_solid_med_h3_actee
0x00000144,sound\materials\hard\metal_solid\metal_solid_looping\metal_solid_looping
0x00000145,fx\material_effects\materials\hard\metal_solid
0x00000146,sound\materials\hard\terrain_concrete\concrete_small
0x00000147,sound\materials\hard\terrain_concrete\concrete_melee
0x00000148,sound\materials\hard\terrain_concrete\concrete_looping\concrete_looping
0x00000149,fx\material_effects\materials\hard\terrain_concrete
0x0000014A,sound\materials\hard\terrain_ice\ice_small
0x0000014B,sound\materials\hard\terrain_ice\ice_med
0x0000014C,sound\materials\hard\terrain_ice\ice_large
0x0000014D,sound\materials\hard\terrain_ice\ice_looping\ice_looping
0x0000014E,globals\glass
0x0000014F,sound\materials\brittle\glass\glass_small
0x00000150,sound\materials\brittle\glass\glass_med
0x00000151,sound\materials\brittle\glass\glass_large
0x00000152,sound\materials\brittle\glass\glass_looping\glass_looping
0x00000153,fx\material_effects\materials\brittle\glass
0x00000154,sound\materials\energy\energy_small
0x00000155,sound\materials\energy\energy_medium
0x00000156,sound\materials\energy\blue_plasma_looping\blue_plasma_looping
0x00000157,fx\material_effects\materials\energy\energy
0x00000158,sound\materials\hard\metal_thin\metal_thin_hum_grating_small
0x00000159,sound\materials\hard\metal_thin\metal_thin_hum_grating_med
0x0000015A,sound\materials\tough\terrain_underbrush\underbrush_med
