0x00000000,global_tags
0x00000001,sound\levels\mainmenu\pelicans_loop\pelicans_loop
0x00000002,sound\levels\mainmenu\vehicles_loop\vehicles_loop
0x00000003,sound\music\main_menu_new\prologue\prologue
0x00000004,sound\music\main_menu_new\main_menu\main_menu
0x00000005,sound\music\main_menu_new\lobby\lobby
0x00000006,sound\music\postmatch_new\headhunters\postmatch_headhunters
0x00000007,sound\music\postmatch_new\spartan_engage\postmatch_spartan_engage
0x00000008,sound\music\postmatch_new\spartan_hero\postmatch_spartan_hero
0x00000009,sound\levels\mainmenu\pa_voice
0x0000000A,objects\characters\dervish\dervish
0x0000000B,levels\ui\mainmenu\objects\menu_pelican\menu_pelican
0x0000000C,levels\ui\mainmenu\objects\menu_scorpion\menu_scorpion
0x0000000D,levels\ui\mainmenu\objects\menu_phantom\menu_phantom
0x0000000E,levels\ui\mainmenu\objects\menu_warthog\menu_warthog
0x0000000F,levels\ui\mainmenu\objects\menu_hornet\menu_hornet
0x00000010,levels\ui\mainmenu\objects\menu_forklift\menu_forklift
0x00000011,levels\ui\mainmenu\objects\menu_banshee\menu_banshee
0x00000012,levels\ui\mainmenu\objects\menu_wraith\menu_wraith
0x00000013,rasterizer\rasterizer_cache_file_globals
0x00000014,hf2p\global_textures_list
0x00000015,hf2p\global_files_list
0x00000016,globals\globals
0x0000009B,fx\scenery_fx\havok\havok_collection
0x0000009C,sound\sound_classes
0x0000009D,sound\global_fx
0x0000009E,sound\sound_mix
0x0000009F,sound\combat_dialogue_constants
0x000000A0,sound\default
0x000000A1,sound\ui_sounds
0x000000A2,ai\ai_dialogue_globals
0x000000A3,ai\normal
0x000000A4,ai\bunkering
0x000000A5,ai\assaulting
0x000000A6,globals\ai_globals
0x000000A7,globals\default_unit_camera_track
0x000000A8,sound\weapons\frag_grenade\frag_throw
0x000000A9,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000AA,objects\weapons\grenade\frag_grenade\frag_grenade
0x000000AB,sound\weapons\plasma_grenade\throwgren
0x000000AC,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000AD,objects\weapons\grenade\plasma_grenade\plasma_grenade
0x000000AE,sound\weapons\claymore_grenade\claymore_throw
0x000000AF,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000B0,objects\weapons\grenade\claymore_grenade\claymore_grenade
0x000000B1,sound\weapons\firebomb\firebomb_throw
